Date,WTI_Price,Brent_Price,Volume
2024-03-01,82.45,85.12,125000
2024-02-29,81.98,84.75,132000
2024-02-28,82.15,84.90,128500
2024-02-27,81.75,84.22,130000
2024-02-26,82.55,85.05,127500
2024-02-25,82.30,84.88,126000
2024-02-24,81.95,84.65,129000
2024-02-23,82.75,85.30,131500
2024-02-22,82.25,84.95,128000
2024-02-21,81.85,84.55,133000
2024-02-20,82.65,85.15,129500
2024-02-19,82.40,84.92,127000
2024-02-18,81.90,84.60,130500
2024-02-17,82.80,85.35,126500
2024-02-16,82.35,84.98,128000
2024-02-15,81.95,84.70,131000
2024-02-14,82.70,85.25,129000
2024-02-13,82.45,84.96,127500
2024-02-12,81.88,84.58,130000
2024-02-11,82.85,85.40,125500