fund_id,fund_name,investor_class,document_filename,fund_size_millions,vintage_year,investment_focus,target_return,fund_term_years,investment_period_years,investor_description,commitment_range,min_holding_period_months,redemption_notice_days,min_redemption_percentage,max_annual_redemption_percentage,quarterly_gate_percentage,early_redemption_fee_percentage,mid_redemption_fee_percentage,late_redemption_fee_percentage,processing_days,valuation_threshold,capital_call_notice_days,redemption_windows,general_partner,fund_status
FUND001,Strategic Growth Fund 1,ClassA,FUND001_ClassA.txt,250,2021,"technology, healthcare, and consumer sectors",15-20%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",39,105,25,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND001,Strategic Growth Fund 1,ClassB,FUND001_ClassB.txt,250,2021,"technology, healthcare, and consumer sectors",15-20%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,60,15,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND001,Strategic Growth Fund 1,Institutional,FUND001_Institutional.txt,250,2021,"technology, healthcare, and consumer sectors",15-20%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",30,45,10,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND002,Industrial Innovation Fund 2,ClassA,FUND002_ClassA.txt,180,2022,"manufacturing, logistics, and industrial technology",12-18%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",39,105,25,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND002,Industrial Innovation Fund 2,ClassB,FUND002_ClassB.txt,180,2022,"manufacturing, logistics, and industrial technology",12-18%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,45,25,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND002,Industrial Innovation Fund 2,Institutional,FUND002_Institutional.txt,180,2022,"manufacturing, logistics, and industrial technology",12-18%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",27,15,15,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND003,Healthcare Ventures Fund 3,ClassA,FUND003_ClassA.txt,300,2021,"biotechnology, medical devices, and healthcare services",18-25%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",39,90,20,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND003,Healthcare Ventures Fund 3,ClassB,FUND003_ClassB.txt,300,2021,"biotechnology, medical devices, and healthcare services",18-25%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,45,15,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND003,Healthcare Ventures Fund 3,Institutional,FUND003_Institutional.txt,300,2021,"biotechnology, medical devices, and healthcare services",18-25%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",27,45,10,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND004,Technology Growth Fund 4,ClassA,FUND004_ClassA.txt,400,2020,"software, fintech, and emerging technology",20-28%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",36,75,25,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND004,Technology Growth Fund 4,ClassB,FUND004_ClassB.txt,400,2020,"software, fintech, and emerging technology",20-28%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",33,45,20,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND004,Technology Growth Fund 4,Institutional,FUND004_Institutional.txt,400,2020,"software, fintech, and emerging technology",20-28%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",30,15,15,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND005,Consumer Brands Fund 5,ClassA,FUND005_ClassA.txt,220,2019,"consumer products, retail, and e-commerce",14-20%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",36,90,30,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND005,Consumer Brands Fund 5,ClassB,FUND005_ClassB.txt,220,2019,"consumer products, retail, and e-commerce",14-20%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",42,60,15,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND005,Consumer Brands Fund 5,Institutional,FUND005_Institutional.txt,220,2019,"consumer products, retail, and e-commerce",14-20%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",24,45,20,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND006,Energy Transition Fund 6,ClassA,FUND006_ClassA.txt,350,2020,"renewable energy, clean technology, and sustainability",16-22%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",39,105,25,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND006,Energy Transition Fund 6,ClassB,FUND006_ClassB.txt,350,2020,"renewable energy, clean technology, and sustainability",16-22%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,60,25,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND006,Energy Transition Fund 6,Institutional,FUND006_Institutional.txt,350,2020,"renewable energy, clean technology, and sustainability",16-22%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",30,45,20,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND007,Real Estate Opportunity Fund 7,ClassA,FUND007_ClassA.txt,500,2022,commercial real estate and real estate technology,12-16%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",42,75,30,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND007,Real Estate Opportunity Fund 7,ClassB,FUND007_ClassB.txt,500,2022,commercial real estate and real estate technology,12-16%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,75,25,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND007,Real Estate Opportunity Fund 7,Institutional,FUND007_Institutional.txt,500,2022,commercial real estate and real estate technology,12-16%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",36,45,20,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND008,Infrastructure Development Fund 8,ClassA,FUND008_ClassA.txt,600,2020,"transportation, utilities, and digital infrastructure",10-15%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",36,75,30,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND008,Infrastructure Development Fund 8,ClassB,FUND008_ClassB.txt,600,2020,"transportation, utilities, and digital infrastructure",10-15%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",42,45,20,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND008,Infrastructure Development Fund 8,Institutional,FUND008_Institutional.txt,600,2020,"transportation, utilities, and digital infrastructure",10-15%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",27,15,15,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND009,Financial Services Fund 9,ClassA,FUND009_ClassA.txt,275,2022,"fintech, insurance, and financial services",15-21%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",42,105,25,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND009,Financial Services Fund 9,ClassB,FUND009_ClassB.txt,275,2022,"fintech, insurance, and financial services",15-21%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",42,75,15,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND009,Financial Services Fund 9,Institutional,FUND009_Institutional.txt,275,2022,"fintech, insurance, and financial services",15-21%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",36,15,15,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND010,Global Opportunities Fund 10,ClassA,FUND010_ClassA.txt,450,2020,international markets and cross-border investments,18-24%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",36,105,25,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND010,Global Opportunities Fund 10,ClassB,FUND010_ClassB.txt,450,2020,international markets and cross-border investments,18-24%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",33,45,20,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND010,Global Opportunities Fund 10,Institutional,FUND010_Institutional.txt,450,2020,international markets and cross-border investments,18-24%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",24,30,20,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND011,Strategic Growth Fund 11,ClassA,FUND011_ClassA.txt,250,2020,"technology, healthcare, and consumer sectors",15-20%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",42,75,20,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND011,Strategic Growth Fund 11,ClassB,FUND011_ClassB.txt,250,2020,"technology, healthcare, and consumer sectors",15-20%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",42,45,15,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND011,Strategic Growth Fund 11,Institutional,FUND011_Institutional.txt,250,2020,"technology, healthcare, and consumer sectors",15-20%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",30,30,15,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND012,Industrial Innovation Fund 12,ClassA,FUND012_ClassA.txt,180,2022,"manufacturing, logistics, and industrial technology",12-18%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",39,90,20,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND012,Industrial Innovation Fund 12,ClassB,FUND012_ClassB.txt,180,2022,"manufacturing, logistics, and industrial technology",12-18%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,75,20,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND012,Industrial Innovation Fund 12,Institutional,FUND012_Institutional.txt,180,2022,"manufacturing, logistics, and industrial technology",12-18%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",27,30,20,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND013,Healthcare Ventures Fund 13,ClassA,FUND013_ClassA.txt,300,2020,"biotechnology, medical devices, and healthcare services",18-25%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",39,75,30,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND013,Healthcare Ventures Fund 13,ClassB,FUND013_ClassB.txt,300,2020,"biotechnology, medical devices, and healthcare services",18-25%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,45,25,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND013,Healthcare Ventures Fund 13,Institutional,FUND013_Institutional.txt,300,2020,"biotechnology, medical devices, and healthcare services",18-25%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",24,45,10,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND014,Technology Growth Fund 14,ClassA,FUND014_ClassA.txt,400,2021,"software, fintech, and emerging technology",20-28%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",42,90,20,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND014,Technology Growth Fund 14,ClassB,FUND014_ClassB.txt,400,2021,"software, fintech, and emerging technology",20-28%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",33,60,15,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND014,Technology Growth Fund 14,Institutional,FUND014_Institutional.txt,400,2021,"software, fintech, and emerging technology",20-28%,10,3,"large institutional investors, pension funds, and endowments","$10,000,000 to $50,000,000",24,30,20,30,10,2,1,0,14,5000000,20,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND015,Consumer Brands Fund 15,ClassA,FUND015_ClassA.txt,220,2020,"consumer products, retail, and e-commerce",14-20%,10,5,retail and smaller institutional investors,"$250,000 to $2,500,000",42,90,25,20,5,3,2,1,30,1000000,10,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
FUND015,Consumer Brands Fund 15,ClassB,FUND015_ClassB.txt,220,2020,"consumer products, retail, and e-commerce",14-20%,10,4,accredited investors and smaller institutional investors,"$2,500,000 to $10,000,000",36,75,25,25,7,2.5,1.5,0.5,21,2000000,15,"Quarterly (Mar 31, Jun 30, Sep 30, Dec 31)",McWade Capital Partners LLC,Active
